epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,93.8219,0.76431,2.938,1.07264,0.01598,1,0.08143,0.04765,0.52032,2.86784,0.93326,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016
2,165.428,0.67995,2.79689,1.036,0.01598,1,0.12177,0.07407,0.45277,2.84464,0.89847,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268
3,225.774,0.61109,2.67131,0.97135,0.01598,1,0.2075,0.13336,0.42676,2.78369,0.86193,0.00149822,0.000499408,0.00149822,0.000499408,0.00149822,0.000499408,0.00149822,0.000499408
4,276.221,0.57238,2.43761,0.93149,0.01598,1,0.27624,0.21185,0.42206,2.63337,0.83606,0.00197526,0.00065842,0.00197526,0.00065842,0.00197526,0.00065842,0.00197526,0.00065842
5,345.006,0.53401,2.14262,0.92125,0.01598,1,0.33794,0.30357,0.40288,2.44489,0.81743,0.00243091,0.000810304,0.00243091,0.000810304,0.00243091,0.000810304,0.00243091,0.000810304
6,401.999,0.51807,1.7787,0.90232,0.13442,0.93865,0.42972,0.39577,0.37168,2.26294,0.80469,0.00286518,0.00095506,0.00286518,0.00095506,0.00286518,0.00095506,0.00286518,0.00095506
7,459.447,0.48774,1.55746,0.89212,0.46697,0.33129,0.50866,0.4748,0.36765,2.05542,0.80224,0.00327806,0.00109269,0.00327806,0.00109269,0.00327806,0.00109269,0.00327806,0.00109269
8,511.047,0.46987,1.35134,0.87332,0.53514,0.69939,0.57181,0.53877,0.3475,1.80363,0.79966,0.00366956,0.00122319,0.00366956,0.00122319,0.00366956,0.00122319,0.00366956,0.00122319
9,559.919,0.44168,1.16812,0.85759,0.55615,0.79755,0.66387,0.61878,0.35743,1.65817,0.80222,0.00403968,0.00134656,0.00403968,0.00134656,0.00403968,0.00134656,0.00403968,0.00134656
10,609.201,0.44286,1.04996,0.85155,0.6152,0.70552,0.74065,0.69511,0.34729,1.62922,0.80683,0.00438841,0.0014628,0.00438841,0.0014628,0.00438841,0.0014628,0.00438841,0.0014628
11,675.584,0.42527,0.95865,0.85287,0.67688,0.7362,0.79004,0.73736,0.34704,1.48711,0.8094,0.00471576,0.00157192,0.00471576,0.00157192,0.00471576,0.00157192,0.00471576,0.00157192
12,752.858,0.42627,0.87947,0.84117,0.76758,0.72939,0.85332,0.79167,0.35628,1.13132,0.80237,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,806.826,0.41159,0.8209,0.8359,0.86438,0.70382,0.87591,0.81634,0.34663,0.89076,0.79181,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,862.221,0.4201,0.80162,0.84412,0.79061,0.81075,0.88891,0.83501,0.33848,0.77385,0.78899,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,914.819,0.40384,0.78017,0.82985,0.78139,0.8589,0.90066,0.84509,0.34787,0.75639,0.78817,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,972.497,0.41,0.7527,0.83539,0.8239,0.84049,0.89842,0.83164,0.36508,0.74698,0.78975,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,1037.97,0.43025,0.75321,0.83686,0.82588,0.82209,0.89992,0.84312,0.34251,0.71737,0.78732,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,1088.65,0.40681,0.71613,0.83268,0.8241,0.86228,0.90831,0.84498,0.35247,0.72653,0.7886,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,1138.77,0.416,0.70203,0.83834,0.8588,0.88957,0.92307,0.86357,0.35739,0.66859,0.78759,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,1190.05,0.40628,0.68511,0.82729,0.85949,0.93865,0.94246,0.87791,0.36221,0.61907,0.78544,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,1244.77,0.4007,0.66194,0.84648,0.84997,0.93845,0.94907,0.89001,0.35674,0.60844,0.7857,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,1309.15,0.3939,0.63175,0.83319,0.8932,0.92352,0.96051,0.89232,0.36869,0.59926,0.7864,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,1368.3,0.39274,0.60759,0.82391,0.88031,0.94756,0.96303,0.90291,0.34313,0.58697,0.78481,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,1420.38,0.38436,0.61183,0.83025,0.84442,0.96568,0.963,0.90618,0.3382,0.59397,0.78405,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,1474.64,0.3912,0.59753,0.83619,0.8763,0.91266,0.96086,0.90401,0.3458,0.60266,0.7866,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
